question,tag,shopid,brand,cid3,sku,answer,cat1,cat2,profession,source
开增值税专用发票,增值税,,海尔,洗衣机,,东平台客服收到您的开票资料后，会尽快为您处理。如果需要换开发票的话，换开普票时效为30天，换开增票时效为15天（以您电子发票开具日期开始计算），如要换成增值税发票需要您增票资质审核通过了就可以为您联系财务换开，不过换开的运费麻烦您承担，请您知晓。,,,,silicon_valley
上排水是什么意思,上排水,,海尔,洗衣机,,上排水是需要把排水管挂高80-100公分，水管在放入地漏，是通过抽水泵将水抽出，其优点是排出的水可二次利用，可用来冲马桶、拖地等。,,,,silicon_valley
我再看一下,Other,,海尔,洗衣机,,好的亲后期有什么需要妹子帮您的随时联系妹子哦亲爱的,,,,silicon_valley
农村送货上门吗,乡村,,海尔,洗衣机,,送货上门哦,,,,silicon_valley
你帮忙改一下,帮忙改,,海尔,洗衣机,,您提供下,,,,silicon_valley
节能补贴怎么领,节能,,海尔,洗衣机,,可享受节能补贴的条件   1、补贴起止时间：2015年11月27日-2018年11月30日  2、补贴对象：北京市户籍人员、驻京部队现役军人和现役武警、持有有效《北京市工作居住证》的非本市户籍人员、持有北京市有效暂住证的非本市户籍人员  （1）北京市户口的居民直接用北京市身份证即可享受补贴   （2）其他三类人群，除了提供本人身份证外，还需提供相应要求的证件   ①北京市军人（警察），需提供军官证   ②有北京市居住证的居民，需同时提供居住证   ③有北京市暂住证的居民，需同时提供暂住证,,,,silicon_valley
洗衣机怎么使用,使用,,海尔,洗衣机,,1 打开电源，打开水阀，水会自动进入洗衣机内，前提是机器内必须有衣物，机器会根据衣物重量自动加水到合适的水位，3 根据衣物的材质选择合适的模式，滚筒洗衣机的洗涤时间会长一些，但是洗净程度都是非常高的，洗涤完成后就可以脱水了，洗涤完成后机器的门需要用力拉动才会打开，前几次洗涤门可能会紧一些，用力要适应。,,,,silicon_valley
1级能效和3级能效有什么区别,能效能效,,海尔,洗衣机,,/能效等级：是表示家用电器产品能效高低差别的一种分级方法，按照国家标准相关规定， 目前我国的能效标识将能效分为五个等级。等级1表示产品节电已达到国际先进水平，能耗最低；等级2表示产品比较节电；等级3表示产品能源效率为我国市场的平均水平,,,,silicon_valley
村里也能送到吗,送到,,海尔,洗衣机,,您可以下单成功都是可以给您免费送货到家的亲,,,,silicon_valley
保修多长时间的啊,保修,,海尔,洗衣机,,家用是3年质保的呢,,,,silicon_valley
要不我今天还下不了单,Other,,海尔,洗衣机,,亲亲，抱歉呢,,,,silicon_valley
那再延保一年就是四年,延保,,海尔,洗衣机,,是的哈 亲亲,,,,silicon_valley
自己排水,排水,,海尔,洗衣机,,您排水管挂高了吗,,,,silicon_valley
不保修,保修,,海尔,洗衣机,,保修的哦,,,,silicon_valley
你们实体店怎么有,实体店,,海尔,洗衣机,,亲亲 销售渠道不同 产品也是不同的呢,,,,silicon_valley
脱水时抽水泵声音多大,脱水时,,海尔,洗衣机,,亲亲  没有具体参数哦,,,,silicon_valley
为什么洗衣机转好慢啊,转好慢,,海尔,洗衣机,,什么模式呢,,,,silicon_valley
能给上门安装不,安装费用,,海尔,洗衣机,,是可以的呢,,,,silicon_valley
推荐一款机器呗,推荐,,海尔,洗衣机,,需要烘干的吗,,,,silicon_valley
有现货吗,现货,,海尔,洗衣机,,可以下单就是有货的哦,,,,silicon_valley
洗衣服会不会浪费水,洗衣服,,海尔,洗衣机,,不会呢,,,,silicon_valley
多长 时间呀,多长时间,,海尔,洗衣机,,速洗是15分钟,,,,silicon_valley
能送到农村吗,送到,,海尔,洗衣机,,亲亲放心的哦,,,,silicon_valley
我申请退款 什么时候退,Other,,海尔,洗衣机,,京东余额退款1个工作日，微信零钱1-3个工作日，储蓄卡退款周期为1-7个工作日到账，信用卡是1-15个工作日。d:\dd_workbench\face\b05.gif,,,,silicon_valley
保修需要自己花钱买,保修需要,,海尔,洗衣机,,洗衣机本身家用3年整机质保的哦,,,,silicon_valley
9公斤跟10公斤有什么区别,区别,,海尔,洗衣机,,亲亲公斤数不同的哦,,,,silicon_valley
水龙头高度有要求吗,水龙头,,海尔,洗衣机,,水压够是可以的,,,,silicon_valley
日常洗衣服用哪一个程序呢,日常洗,,海尔,洗衣机,,混合,,,,silicon_valley
一般洗衣服用哪个模式,服用模式,,海尔,洗衣机,,混合洗,,,,silicon_valley
是包安装的吧,安装,,海尔,洗衣机,,亲亲是有安装服务的,,,,silicon_valley
是自己安装吗,安装,,海尔,洗衣机,,预约售后安装哦,,,,silicon_valley
电机保修也是三年,保修,,海尔,洗衣机,,整机哦,,,,silicon_valley
可以中途加衣服吗,加衣,,海尔,洗衣机,,/【中途添衣】电磁门锁，观察窗打开需要三个条件的；内筒停止运转 水位低于观察窗 温度低于50°门可以打开可以到180度,,,,silicon_valley
在哪里领卷,领卷,,海尔,洗衣机,,进入手机京东APP客户端首页，选择领券，点进后进行领取,,,,silicon_valley
包安装吗,安装费用,,海尔,洗衣机,,亲爱的，需要电话预约安装的，电话是4006999999,,,,silicon_valley
上门安装吗,安装费用,,海尔,洗衣机,,详细地址可以下单就可以上门安装的亲亲,,,,silicon_valley
洗衣机洗衣服怎么声音好大啊,洗衣,,海尔,洗衣机,,洗衣机自己安装的吗,,,,silicon_valley
羽绒被能洗么,羽绒被洗,,海尔,洗衣机,,亲亲不可以的哦,,,,silicon_valley
可以自己去买吧,去买,,海尔,洗衣机,,可以呢亲,,,,silicon_valley
最高温度多高,温度,,海尔,洗衣机,,90度,,,,silicon_valley
多少运费,运费,,海尔,洗衣机,,50,,,,silicon_valley
保修多久呢,保修,,海尔,洗衣机,,家用整机质保3年，若是出现故障联系售后上门就可以,,,,silicon_valley
如果有问题的话退货要不要付运费,付运费,,海尔,洗衣机,,质量问题免费的,,,,silicon_valley
洗衣机咋一边洗衣服还一边排水,洗衣,,海尔,洗衣机,,排水管挂高了吗亲,,,,silicon_valley
能不能一定抢到,Other,,海尔,洗衣机,,亲亲  建议您准时抢购哦,,,,silicon_valley
配件需要自己买吗,需要买,,海尔,洗衣机,,水龙头自备的,,,,silicon_valley
3个人用 适合几公斤,适合,,海尔,洗衣机,,建议8公斤的,,,,silicon_valley
我是留了地漏排水的,留地漏,,海尔,洗衣机,,可以使用,,,,silicon_valley
怎么转到冰箱客服,转到冰箱,,海尔,洗衣机,,帮您转接,,,,silicon_valley
太失望了,失望,,海尔,洗衣机,,真是抱歉了亲,,,,silicon_valley
怎么连接app,app,,海尔,洗衣机,,/物联网/微联网/APP】APP：如果要连接WIFI，?使用APP或者微信操控洗衣机?，?需要您先关注我们的微信号“海尔智能洗衣机”（见二维码），然后点击公众号右下角“建议帮助”——&gt;“帮助”获取帮助指引“怎么样下载APP？”下载APP，按照APP中的指引配置洗衣机链接路由器。,,,,silicon_valley
怎么洗衣机洗的时候很大的声音呢,机洗声音,,海尔,洗衣机,,地面是平整的吗亲,,,,silicon_valley
其他配件都是包含的吧,包含,,海尔,洗衣机,,进水管排水管都是带的,,,,silicon_valley
客服你好,客服好,,海尔,洗衣机,,您好　请问有什么可以为您效劳的呢,,,,silicon_valley
那洗的衣服多少都是那么多水吗,多水,,海尔,洗衣机,,量衣进水的,,,,silicon_valley
买的洗衣机坏了,洗衣机坏,,海尔,洗衣机,,机器什么问题亲,,,,silicon_valley
可以送上楼来嘛,上楼,,海尔,洗衣机,,送货到家的 亲,,,,silicon_valley
排水管要挂高吗,挂高,,海尔,洗衣机,,需要挂高的哦,,,,silicon_valley
确定吗,确定,,海尔,洗衣机,,确定的哦,,,,silicon_valley
能确定他们明天上午能送到吗,确定送到,,海尔,洗衣机,,送达前会和您电话联系的,,,,silicon_valley
明天能送到吗,送到,,海尔,洗衣机,,具体送货时间不能确定，快递是沿途配送哦#E-s21,,,,silicon_valley
农村的可以送到家吗,送到,,海尔,洗衣机,,您能成功下单的地方都是可以送货的哦,,,,silicon_valley
是送的时候直接给安装吗,安装费用,,海尔,洗衣机,,配送不是专业的安装师傅的哦,,,,silicon_valley
送货时间可以自己定嘛,送货,,海尔,洗衣机,,您下单可以选择收货时间的呢,,,,silicon_valley
给你发截图吧 登记太复杂,截图登记,,海尔,洗衣机,,妹子帮您登记,,,,silicon_valley
推荐一款滚筒的洗衣机,推荐,,海尔,洗衣机,,您需要多少公斤的 亲,,,,silicon_valley
我现在能不能换啊,Other,,海尔,洗衣机,,是不能的哦亲,,,,silicon_valley
可以送货上门吧,送货,,海尔,洗衣机,,是的‘,,,,silicon_valley
洗衣机送货上门安装吗,安装费用,,海尔,洗衣机,,为了提高配送效率，我们是物流师傅先给您把机器送到，收到货后联系4006999999预约时间师傅上门安装下，咱们专业的售后师傅会在24小时内上门为您服务哦,,,,silicon_valley
我购买的热水器有遥控器的吗,购买热水器,,海尔,洗衣机,,帮您转接热水器客服您看可以吗,,,,silicon_valley
如果送来有磕碰的现象怎么办,送来现象,,海尔,洗衣机,,可以拒收的,,,,silicon_valley
打不开啊,打开,,海尔,洗衣机,,亲亲复制在浏览器中打开,,,,silicon_valley
会不会换很久啊,Other,,海尔,洗衣机,,不会的呢 亲亲,,,,silicon_valley
是免费的吗,免费,,海尔,洗衣机,,质量问题是免费的,,,,silicon_valley
是正品海尔吗,正品海尔,,海尔,洗衣机,,保证正品的,,,,silicon_valley
有甩干功能吗,甩干,,海尔,洗衣机,,有的恩,,,,silicon_valley
可以甩干,甩干,,海尔,洗衣机,,可以脱水的,,,,silicon_valley
